category,brand,name,price,price_per_size,size,popularity_rank,out_of_item,item_url
"Beer, Craft",New Belgium Brewing,"New Belgium Brewing Voodoo Ranger Hoppy Variety Pack, Cans",$23.99/ea,$2.67/pt,"12ct, 12fl oz ea",107,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4019388
"Beer, Craft",Bronx Brewery,"Bronx Brewery Smile My Guy Happy Hoppy IPA, Cans",$16.99/ea,$4.25/pt,"4ct, 16fl oz ea",106,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4017902
"Beer, Craft",Founders Brewing Company,"Founders Brewing Company All Day Variety Pack, Cans",$23.99/ea,$2.67/pt,"12ct, 12fl oz ea",105,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4019360
"Beer, Craft",Sierra Nevada,"Sierra Nevada Big Little Thing Imperial IPA, Cans",$13.99/ea,$3.11/pt,"6ct, 12fl oz ea",104,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4018213
"Beer, Craft",Talea Beer Co.,"Talea Beer Co. Lite Lager, Cans",$17.99/ea,$4.00/pt,"6ct, 12fl oz ea",103,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4019408
"Beer, Craft",Oxbow Brewing Co.,"Oxbow Brewing Co. Luppolo Dry-Hopped Pilsner, Cans",$19.99/ea,$5.00/pt,"4ct, 16fl oz ea",102,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4016626
"Beer, Craft",Sixpoint Brewery,"Sixpoint Brewery Bengali IPA, Cans",$45.56/cs,$2.53/pt,"24ct, 12fl oz ea",101,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4201510
"Beer, Craft",Victory Brewing Co.,"Victory Brewing Co. Sour Monkey, Glass Bottles",$16.99/ea,$3.78/pt,"6ct, 12fl oz ea",100,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4013485
"Beer, Craft",Goose Island,"Goose Island India Pale Ale, Glass Bottles",$53.16/cs,$2.95/pt,"24ct, 12fl oz ea",99,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4201461
"Beer, Craft",Blue Moon,"Blue Moon Moon Haze Pale Ale, Cans",$13.99/ea,$3.11/pt,"6ct, 12fl oz ea",98,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4019387
"Beer, Craft",Goose Island,"Goose Island 312 Urban Wheat Ale, Glass Bottles",$13.99/ea,$3.33/pt,"6ct, 12fl oz ea",97,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4007239
"Beer, Craft",Sixpoint Brewery,"Sixpoint Brewery The Crisp Pilz, Cans",$45.56/cs,$2.53/pt,"24ct, 12fl oz ea",96,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4201512
"Beer, Craft",Blue Point,"Blue Point Toasted Lager, Cans",$53.16/cs,$2.95/pt,"24ct, 12fl oz ea",95,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/spe_blpt_zcs_2
"Beer, Craft",Barrier Brewing,"Barrier Brewing Money IPA, Cans",$19.99/ea,$5.00/pt,"4ct, 16fl oz ea",94,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4014596
"Beer, Craft",Fiddlehead Brewing,"Fiddlehead Brewing Hazy IPA, Cans",$24.99/ea,$2.78/pt,"12ct, 12fl oz ea",93,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4019185
"Beer, Craft",Sierra Nevada,"Sierra Nevada Pale Ale, Glass Bottles",$45.56/cs,$2.53/pt,"24ct, 12fl oz ea",92,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/spe_sierra_plal6pkcs
"Beer, Craft",Shiner,"Shiner Brewery Taproom Variety Pack, Cans",$12.99/ea,$2.89/pt,"6ct, 12fl oz ea",91,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4016529
"Beer, Craft",Bronx Brewery,"Bronx Brewery No Resolutions IPA, Cans",$15.99/ea,$3.55/pt,"6ct, 12fl oz ea",90,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4012420
"Beer, Craft",Founders Brewing Company,"Founders Brewing Company Centennial IPA, Cans",$27.99/ea,$2.49/pt,"15ct, 12fl oz ea",89,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4016598
"Beer, Craft",Talea Beer Co.,"Talea Beer Co. Pick Me Up Hazy IPA, Cans",$19.99/ea,$5.00/pt,"4ct, 16fl oz ea",88,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4019407
"Beer, Craft",Sierra Nevada,"Sierra Nevada Little Things Party Pack, Cans",$23.99/ea,$2.67/pt,"12ct, 12fl oz ea",87,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4018832
"Beer, Craft",Bronx Brewery,"Bronx Brewery American Pale Ale, Cans",$15.99/ea,$3.55/pt,"6ct, 12fl oz ea",86,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4010348
"Beer, Craft",Collective Arts Brewing,"Collective Arts Brewing Guava Gose, Cans",$18.99/ea,$6.33/pt,"4ct, 12fl oz ea",85,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4016628
"Beer, Craft",Ommegang,"Ommegang Witte Ale, Glass Bottles",$16.99/ea,$3.78/pt,"6ct, 12fl oz ea",84,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4010687
"Beer, Craft",Ommegang,"Ommegang Neon Rainbows New England-Style IPA, Cans",$19.99/ea,$5.00/pt,"4ct, 16fl oz ea",83,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4017381
"Beer, Craft",Ghostfish Brewing Company,"Ghostfish Brewing Company Shrouded Summit Gluten-Free Belgian White Ale, Cans",$14.99/ea,$5.00/pt,"4ct, 12fl oz ea",82,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4019536
"Beer, Craft",Sixpoint Brewery,"Sixpoint Brewery The Crisp Pilz, Cans",$21.99/ea,$2.44/pt,"12ct, 12fl oz ea",81,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4019265
"Beer, Craft",Samuel Adams,"Samuel Adams Boston Lager, Glass Bottles",$53.16/cs,$2.95/pt,"24ct, 12fl oz ea",80,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/spe_sam_cs
"Beer, Craft",Singlecut Beersmiths,"Singlecut Beersmiths 18-Watt IPA, Cans",$17.99/ea,$4.50/pt,"4ct, 16fl oz ea",79,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4018113
"Beer, Craft",Threes Brewing,"Threes Brewing All or Nothing West Coast IPA, Cans",$18.99/ea,$4.75/pt,"4ct, 16fl oz ea",78,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4019266
"Beer, Craft",Talea Beer Co.,"Talea Beer Co. Peach Berry Punch Sour Ale, Cans",$22.99/ea,$5.75/pt,"4ct, 16fl oz ea",77,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4018106
"Beer, Craft",Singlecut Beersmiths,"Singlecut Beersmiths Weird & Gilly Double Dry Hop IPA, Cans",$19.99/ea,$5.00/pt,"4ct, 16fl oz ea",76,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4016148
"Beer, Craft",Lagunitas,"Lagunitas IPA, Glass Bottles",$49.36/cs,$2.74/pt,"24ct, 12fl oz ea",75,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4201458
"Beer, Craft",Elysian,"Elysian Night Owl Pumpkin Ale, Glass Bottles",$14.99/ea,$3.33/pt,"6ct, 12fl oz ea",74,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4015657
"Beer, Craft",Magic Hat,"Magic Hat Number 9 Pale Ale, Glass Bottles",$12.99/ea,$2.89/pt,"6ct, 12fl oz ea",73,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/beer_magichat_9_ninbt
"Beer, Craft",Harpoon,"Harpoon Brewery Fall Tailgater Variety Pack, Glass Bottles",$22.99/ea,$2.55/pt,"12ct, 12fl oz ea",72,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/spe_harpoon_mixpk
"Beer, Craft",Breckenridge Brewery,"Breckenridge Brewery Vanilla Porter, Glass Bottles",$14.99/ea,$3.33/pt,"6ct, 12fl oz ea",71,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4011979
"Beer, Craft",Bronx Brewery,"Bronx Brewery Now Youse Can't Leave Double IPA, Cans",$17.99/ea,$4.50/pt,"4ct, 16fl oz ea",70,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4015048
"Beer, Craft",Greenpoint,"Greenpoint Lekker Pilsener, Cans",$13.99/ea,$4.66/pt,"4ct, 12fl oz ea",69,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4017220
"Beer, Craft",Blue Moon,"Blue Moon Belgian White Wheat Ale, Glass Bottles",$53.16/cs,$2.95/pt,"24ct, 12fl oz ea",68,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/spe_blmn_zcs_1
"Beer, Craft",Singlecut Beersmiths,"Singlecut Beersmiths Softly Spoken Magic Spells IIPA, Cans",$22.99/ea,$5.75/pt,"4ct, 16fl oz ea",67,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4017133
"Beer, Craft",Sixpoint Brewery,"Sixpoint Brewery Resin Double IPA, Can",$3.99/ea,$3.33/pt,19.2fl oz,66,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4018734
"Beer, Craft",Montauk Brewing,"Montauk Brewing Juicy IPA, Cans",$19.99/ea,$5.00/pt,"4ct, 16fl oz ea",65,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4015842
"Beer, Craft",Harpoon,"Harpoon Flannel Friday Amber Ale, Glass Bottles",$11.99/ea,$2.66/pt,"6ct, 12fl oz ea",64,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4011663
"Beer, Craft",Victory Brewing Co.,"Victory Brewing Co. Kick Back Variety Pack, Cans",$24.99/ea,$2.22/pt,"15ct, 12fl oz ea",63,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4014083
"Beer, Craft",Sierra Nevada,"Sierra Nevada Hazy Little Thing IPA, Can",$3.99/ea,$3.33/pt,19.2fl oz,62,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4018409
"Beer, Craft",Grimm,"Grimm Weiss Hefeweissbier, Cans",$16.99/ea,$4.25/pt,"4ct, 16fl oz ea",61,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4018410
"Beer, Craft",Other Half,"Other Half Forever Ever Session IPA, Cans",$22.99/ea,$5.75/pt,"4ct, 16fl oz ea",60,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4018802
"Beer, Craft",Two Roads Brewing Company,"Two Roads Brewing Company Roadsmary's Baby Rum Barrel-Aged Pumpkin Ale, Cans",$14.99/ea,$3.33/pt,"6ct, 12fl oz ea",59,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4013069
"Beer, Craft",Bronx Brewery,"Bronx Brewery The IPA Set Variety Pack, Cans",$26.99/ea,$3.00/pt,"12ct, 12fl oz ea",58,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4014590
"Beer, Craft",Southern Tier Brewing Company,"Southern Tier Brewing Company Overpack'd Variety Pack, Cans",$23.99/ea,$2.13/pt,"15ct, 12fl oz ea",57,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4012575
"Beer, Craft",Half Acre Beer Co.,"Half Acre Beer Co. Daisy Cutter Pale Ale, Cans",$15.99/ea,$4.00/pt,"4ct, 16fl oz ea",56,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4012983
"Beer, Craft",Stone,"Stone India Pale Ale, Glass Bottles",$12.99/ea,$2.89/pt,"6ct, 12fl oz ea",55,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/beer_stone_sxbt
"Beer, Craft",Talea Beer Co.,"Talea Beer Co. AL DENTE Italian-Style Pilsner, Cans",$20.99/ea,$5.25/pt,"4ct, 16fl oz ea",54,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4018105
"Beer, Craft",Lagunitas,"Lagunitas IPA, Can",$3.99/ea,$3.33/pt,19.2fl oz,53,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4018413
